DirtyColumn,DirtyTable,CleanColumn,
GGX_PERCENT_THICKNESS,HB_AERA_PICK,GGX_PERCENT_THICKNESS,
GGX_PERCENT_THICKNESS_OUOM,HB_AERA_PICK,GGX_PERCENT_THICKNESS_OUOM,
GGX_PICK_TYPE,HB_AERA_PICK,GGX_PICK_TYPE,
GGX_SHOW,HB_AERA_PICK,GGX_SHOW,
GGX_UNC_FAULT_OBS_NO,HB_AERA_PICK,GGX_UNC_FAULT_OBS_NO,
GGX_UNC_FAULT_SOURCE,HB_AERA_PICK,GGX_UNC_FAULT_SOURCE,
GGX_UNCONFORMITY_NAME,HB_AERA_PICK,GGX_UNCONFORMITY_NAME,
MAX_DEPTH,HB_AERA_PICK,MaxPickDepthMD,
MAX_DEPTH_OUOM,HB_AERA_PICK,MAX_DEPTH_OUOM,
MIN_DEPTH,HB_AERA_PICK,MinPickDepthMD,
MIN_DEPTH_OUOM,HB_AERA_PICK,MIN_DEPTH_OUOM,
ORIGINAL_DATA_SOURCE,HB_AERA_PICK,ORIGINAL_DATA_SOURCE,
PICK_CONF_FACT,HB_AERA_PICK,PICK_CONF_FACT,
PICK_CORR_CONF,HB_AERA_PICK,PICK_CORR_CONF,
PICK_DATE,HB_AERA_PICK,PICK_DATE,
PICK_DEPTH,HB_AERA_PICK,DepthMD,
PICK_DEPTH_OUOM,HB_AERA_PICK,PickDepthUnits,
PICK_KIND,HB_AERA_PICK,PICK_KIND,
PICK_OBS_NO,HB_AERA_PICK,PickCount,
PICK_QUAL,HB_AERA_PICK,PICK_QUAL,
PICK_SOURCE,HB_AERA_PICK,PickSoftware,
PICK_SURF_ID,HB_AERA_PICK,OWPickSurfID,
PICK_SURF_NAME,HB_AERA_PICK,PICK_SURF_NAME,
REMARK,HB_AERA_PICK,REMARK,
TIME_DIST_FLG,HB_AERA_PICK,TIME_DIST_FLG,
UPDATE_DATE,HB_AERA_PICK,UPDATE_DATE,
UPDATE_USER_ID,HB_AERA_PICK,UPDATE_USER_ID,
USER_DEF_1,HB_AERA_PICK,USER_DEF_1,
USER_DEF_2,HB_AERA_PICK,USER_DEF_2,
USER_DEF_3,HB_AERA_PICK,USER_DEF_3,
USER_DEF_4,HB_AERA_PICK,USER_DEF_4,
USER_DEF_5,HB_AERA_PICK,USER_DEF_5,
USER_DEF_NUM_1,HB_AERA_PICK,USER_DEF_NUM_1,
USER_DEF_NUM_2,HB_AERA_PICK,USER_DEF_NUM_2,
USER_DEF_NUM_3,HB_AERA_PICK,USER_DEF_NUM_3,
WELL_ID,HB_AERA_PICK,OpenWorksWellHashID,
WELL_UWI,HB_AERA_PICK,API14,
CREATE_DATE,HB_AERA_PICK,CREATE_DATE,
CREATE_USER_ID,HB_AERA_PICK,CREATE_USER_ID,
DATA_SOURCE,HB_AERA_PICK,PickInterpretor,
DIP_ANGLE,HB_AERA_PICK,DIP_ANGLE,
DIP_ANGLE_OUOM,HB_AERA_PICK,PickAngleUnits,
DIP_AZIMUTH,HB_AERA_PICK,DIP_AZIMUTH,
DIP_AZIMUTH_OUOM,HB_AERA_PICK,PickAziUnits,
GEOLOGIC_FEATURE,HB_AERA_PICK,GEOLOGIC_FEATURE,
GGX_FAULT_NAME,HB_AERA_PICK,GGX_FAULT_NAME,
GGX_GAP_THICKNESS,HB_AERA_PICK,GGX_GAP_THICKNESS,
GGX_GAP_THICKNESS_OUOM,HB_AERA_PICK,GGX_GAP_THICKNESS_OUOM,
GGX_PERCENT_THICKNESS,HB_AERA_PICK,GGX_PERCENT_THICKNESS,
GGX_PERCENT_THICKNESS_OUOM,HB_AERA_PICK,GGX_PERCENT_THICKNESS_OUOM,
GGX_PICK_TYPE,HB_AERA_PICK,GGX_PICK_TYPE,
GGX_SHOW,HB_AERA_PICK,GGX_SHOW,
GGX_UNC_FAULT_OBS_NO,HB_AERA_PICK,GGX_UNC_FAULT_OBS_NO,
GGX_UNC_FAULT_SOURCE,HB_AERA_PICK,GGX_UNC_FAULT_SOURCE,
GGX_UNCONFORMITY_NAME,HB_AERA_PICK,GGX_UNCONFORMITY_NAME,
MAX_DEPTH,HB_AERA_PICK,MaxPickDepthMD,
MAX_DEPTH_OUOM,HB_AERA_PICK,MAX_DEPTH_OUOM,
MIN_DEPTH,HB_AERA_PICK,MinPickDepthMD,
MIN_DEPTH_OUOM,HB_AERA_PICK,MIN_DEPTH_OUOM,
ORIGINAL_DATA_SOURCE,HB_AERA_PICK,ORIGINAL_DATA_SOURCE,
PICK_CONF_FACT,HB_AERA_PICK,PICK_CONF_FACT,
PICK_CORR_CONF,HB_AERA_PICK,PICK_CORR_CONF,
PICK_DATE,HB_AERA_PICK,PICK_DATE,
PICK_DEPTH,HB_AERA_PICK,DepthMD,
PICK_DEPTH_OUOM,HB_AERA_PICK,PickDepthUnits,
PICK_KIND,HB_AERA_PICK,PICK_KIND,
PICK_OBS_NO,HB_AERA_PICK,PickCount,
PICK_QUAL,HB_AERA_PICK,PICK_QUAL,
PICK_SOURCE,HB_AERA_PICK,PickSoftware,
PICK_SURF_ID,HB_AERA_PICK,OWPickSurfID,
PICK_SURF_NAME,HB_AERA_PICK,PICK_SURF_NAME,
REMARK,HB_AERA_PICK,REMARK,
TIME_DIST_FLG,HB_AERA_PICK,TIME_DIST_FLG,
UPDATE_DATE,HB_AERA_PICK,UPDATE_DATE,
UPDATE_USER_ID,HB_AERA_PICK,UPDATE_USER_ID,
USER_DEF_1,HB_AERA_PICK,USER_DEF_1,
USER_DEF_2,HB_AERA_PICK,USER_DEF_2,
USER_DEF_3,HB_AERA_PICK,USER_DEF_3,
USER_DEF_4,HB_AERA_PICK,USER_DEF_4,
USER_DEF_5,HB_AERA_PICK,USER_DEF_5,
USER_DEF_NUM_1,HB_AERA_PICK,USER_DEF_NUM_1,
USER_DEF_NUM_2,HB_AERA_PICK,USER_DEF_NUM_2,
USER_DEF_NUM_3,HB_AERA_PICK,USER_DEF_NUM_3,
WELL_ID,HB_AERA_PICK,OpenWorksWellHashID,
WELL_UWI,HB_AERA_PICK,API14,
CREATE_DATE,HB_AERA_VC_PICKSURF_NAME,CREATE_DATE,
CREATE_USER_ID,HB_AERA_VC_PICKSURF_NAME,CREATE_USER_ID,
PICK_SURF_ABBREV,HB_AERA_VC_PICKSURF_NAME,PICK_SURF_ABBREV,
PICK_SURF_ALIAS,HB_AERA_VC_PICKSURF_NAME,PICK_SURF_ALIAS,
PICK_SURF_ID,HB_AERA_VC_PICKSURF_NAME,OWPickSurfID,
PICK_SURF_NAME,HB_AERA_VC_PICKSURF_NAME,PICK_SURF_NAME,
REF_VALUE_SOURCE,HB_AERA_VC_PICKSURF_NAME,REF_VALUE_SOURCE,
REF_VALUE_STATUS,HB_AERA_VC_PICKSURF_NAME,REF_VALUE_STATUS,
REMARK,HB_AERA_VC_PICKSURF_NAME,REMARK,
UPDATE_DATE,HB_AERA_VC_PICKSURF_NAME,UPDATE_DATE,
UPDATE_USER_ID,HB_AERA_VC_PICKSURF_NAME,UPDATE_USER_ID,
ALTERNATE_UWI,HB_AERA_WELL_MASTER,ALTERNATE_UWI,
AUTHORIZATION_NO,HB_AERA_WELL_MASTER,AUTHORIZATION_NO,
BH_LATITUDE,HB_AERA_WELL_MASTER,Btm_Lat,
BH_LONGITUDE,HB_AERA_WELL_MASTER,Btm_Long,
BH_X_COORDINATE,HB_AERA_WELL_MASTER,Btm_GridX,
BH_Y_COORDINATE,HB_AERA_WELL_MASTER,Btm_GridY,
BOREHOLE_NO,HB_AERA_WELL_MASTER,BOREHOLE_NO,
BOREHOLE_TYPE,HB_AERA_WELL_MASTER,BOREHOLE_TYPE,
COMP_DATA_RELEASE_DTE,HB_AERA_WELL_MASTER,COMP_DATA_RELEASE_DTE,
COMPLETION_DATE,HB_AERA_WELL_MASTER,COMPLETION_DATE,
CREATE_DATE,HB_AERA_WELL_MASTER,CREATE_DATE,
CREATE_USER_ID,HB_AERA_WELL_MASTER,CREATE_USER_ID,
CURRENCY,HB_AERA_WELL_MASTER,CURRENCY,
CURRENT_CLASS,HB_AERA_WELL_MASTER,CURRENT_CLASS,
CURRENT_STATUS,HB_AERA_WELL_MASTER,CompletionStatus,
CURRENT_STATUS_DATE,HB_AERA_WELL_MASTER,CompletionStatusDate,
CURRENT_WELL_LEASE_NAME,HB_AERA_WELL_MASTER,CURRENT_WELL_LEASE_NAME,
CURRENT_WELL_LEASE_NO,HB_AERA_WELL_MASTER,CURRENT_WELL_LEASE_NO,
DATA_ACQ_COMPANY,HB_AERA_WELL_MASTER,DATA_ACQ_COMPANY,
DATA_ACQUISITION_TYPE,HB_AERA_WELL_MASTER,DATA_ACQUISITION_TYPE,
DATA_SOURCE,HB_AERA_WELL_MASTER,DATA_SOURCE,
DEPTH_DATUM,HB_AERA_WELL_MASTER,DatumElev,
DEPTH_DATUM_OUOM,HB_AERA_WELL_MASTER,DEPTH_DATUM_OUOM,
DEPTH_DATUM_TYPE,HB_AERA_WELL_MASTER,DatumType,
DRILLING_OPERATOR,HB_AERA_WELL_MASTER,DRILLING_OPERATOR,
FARM_OUT,HB_AERA_WELL_MASTER,FARM_OUT,
FIELD,HB_AERA_WELL_MASTER,FIELD,
FIELD_ID,HB_AERA_WELL_MASTER,OpenWorksFieldHashID,
FINAL_TD,HB_AERA_WELL_MASTER,TD_MD,
FINAL_TD_OUOM,HB_AERA_WELL_MASTER,FINAL_TD_OUOM,
FM_AT_TD,HB_AERA_WELL_MASTER,FM_AT_TD,
GGX_LOCATION,HB_AERA_WELL_MASTER,GGX_LOCATION,
GGX_OLD_ID,HB_AERA_WELL_MASTER,GGX_OLD_ID,
GGX_PERCENT_ALLOCATION,HB_AERA_WELL_MASTER,GGX_PERCENT_ALLOCATION,
GROUND_ELEV,HB_AERA_WELL_MASTER,GROUND_ELEV,
GROUND_ELEV_OUOM,HB_AERA_WELL_MASTER,GROUND_ELEV_OUOM,
INITIAL_CLASS,HB_AERA_WELL_MASTER,INITIAL_CLASS,
INITIAL_STATUS,HB_AERA_WELL_MASTER,INITIAL_STATUS,
INTERNAL_DRILLING_COST,HB_AERA_WELL_MASTER,INTERNAL_DRILLING_COST,
KICK_OFF_DEPTH,HB_AERA_WELL_MASTER,KOD,
KICK_OFF_DEPTH_OUOM,HB_AERA_WELL_MASTER,KICK_OFF_DEPTH_OUOM,
ORIG_BH_CRS_ID,HB_AERA_WELL_MASTER,ORIG_BH_CRS_ID,
ORIG_BH_X_LON,HB_AERA_WELL_MASTER,Btm_GridX,
ORIG_BH_Y_LAT,HB_AERA_WELL_MASTER,Btm_GridY,
PARENT_WELLPATH_ID,HB_AERA_WELL_MASTER,PARENT_WELLPATH_ID,
PARENT_WELLPATH_UWI,HB_AERA_WELL_MASTER,PARENT_WELLPATH_UWI,
PERMIT_DTE,HB_AERA_WELL_MASTER,PERMIT_DTE,
PERMIT_NO,HB_AERA_WELL_MASTER,PERMIT_NO,
PLOT_NAME,HB_AERA_WELL_MASTER,PLOT_NAME,
PLUGBACK_DEPTH,HB_AERA_WELL_MASTER,PBMD,
PLUGBACK_DEPTH_OUOM,HB_AERA_WELL_MASTER,PLUGBACK_DEPTH_OUOM,
REMARK,HB_AERA_WELL_MASTER,REMARK,
RESTRICTED_DATA_IND,HB_AERA_WELL_MASTER,RESTRICTED_DATA_IND,
SECURITY_ON_OFF_FLG,HB_AERA_WELL_MASTER,SECURITY_ON_OFF_FLG,
SPUD_DATE,HB_AERA_WELL_MASTER,SPUD_DATE,
TOTAL_DRILLING_COST,HB_AERA_WELL_MASTER,TOTAL_DRILLING_COST,
TRAJECTORY_SHAPE,HB_AERA_WELL_MASTER,TRAJECTORY_SHAPE,
UPDATE_DATE,HB_AERA_WELL_MASTER,UPDATE_DATE,
UPDATE_USER_ID,HB_AERA_WELL_MASTER,UPDATE_USER_ID,
USER_DEF1,HB_AERA_WELL_MASTER,USER_DEF1,
USER_DEF2,HB_AERA_WELL_MASTER,USER_DEF2,
WATER_DEPTH,HB_AERA_WELL_MASTER,WATER_DEPTH,
WATER_DEPTH_DATUM,HB_AERA_WELL_MASTER,WATER_DEPTH_DATUM,
WATER_DEPTH_OUOM,HB_AERA_WELL_MASTER,WATER_DEPTH_OUOM,
WELL_GEOM_DESC,HB_AERA_WELL_MASTER,WELL_GEOM_DESC,
WELL_ID,HB_AERA_WELL_MASTER,OpenWorksWellHashID,
WELL_LOCATION_ID,HB_AERA_WELL_MASTER,WELL_LOCATION_ID,
WELL_NAME_FREE,HB_AERA_WELL_MASTER,WellName,
WELL_SYMBOL_CODE,HB_AERA_WELL_MASTER,WELL_SYMBOL_CODE,
WELL_UWI,HB_AERA_WELL_MASTER,API14,
WELL_UWI_TYPE,HB_AERA_WELL_MASTER,API_TYPE,
WL_BASIN_ID,HB_AERA_WELL_MASTER,WL_BASIN_ID,
WL_COUNTRY,HB_AERA_WELL_MASTER,COUNTRY_CD,
WL_COUNTY,HB_AERA_WELL_MASTER,COUNTY_NO,
WL_CURRENT_OPERATOR,HB_AERA_WELL_MASTER,WL_CURRENT_OPERATOR,
WL_GOVERN_AREA,HB_AERA_WELL_MASTER,WL_GOVERN_AREA,
WL_LEASE_ID,HB_AERA_WELL_MASTER,WL_LEASE_ID,
WL_ON_OFF_SHORE,HB_AERA_WELL_MASTER,WL_ON_OFF_SHORE,
WL_ORIG_CRS_ID,HB_AERA_WELL_MASTER,WL_ORIG_CRS_ID,
WL_ORIG_X_LON,HB_AERA_WELL_MASTER,WL_ORIG_X_LON,
WL_ORIG_Y_LAT,HB_AERA_WELL_MASTER,WL_ORIG_Y_LAT,
WL_PLATFORM_CODE,HB_AERA_WELL_MASTER,WL_PLATFORM_CODE,
WL_PLATFORM_SLOT_NO,HB_AERA_WELL_MASTER,WL_PLATFORM_SLOT_NO,
WL_STATE,HB_AERA_WELL_MASTER,STATE,
WL_SURFACE_LATITUDE,HB_AERA_WELL_MASTER,Lat,
WL_SURFACE_LONGITUDE,HB_AERA_WELL_MASTER,Long,
WL_SURFACE_X_COORDINATE,HB_AERA_WELL_MASTER,GridX,
WL_SURFACE_Y_COORDINATE,HB_AERA_WELL_MASTER,GridY,
WL_SURVEY_LOC_TYPE,HB_AERA_WELL_MASTER,WL_SURVEY_LOC_TYPE,
WL_WELL_GEOM_TYPE,HB_AERA_WELL_MASTER,WL_WELL_GEOM_TYPE,
WL_WELL_LOCATION_NAME,HB_AERA_WELL_MASTER,WL_WELL_LOCATION_NAME,
WL_WELL_LOCATION_UWI,HB_AERA_WELL_MASTER,WL_WELL_LOCATION_UWI,
WL_WELL_NET_INT,HB_AERA_WELL_MASTER,WL_WELL_NET_INT,
WL_WELL_NET_INT_OUOM,HB_AERA_WELL_MASTER,WL_WELL_NET_INT_OUOM,
address,i_analog_poc_param_mop_reference,ADDRESS,
addressname,i_analog_poc_param_mop_reference,ADDRESSNAME,
poctype,i_analog_poc_param_mop_reference,POCTYPE,
pocname,i_analog_poc_param_mop_reference,POCNAME,
paramstandardtype,i_analog_poc_param_mop_reference,PARAMSTANDARDTYPE,
paramname,i_analog_poc_param_mop_reference,PARAMNAME,
applicationid,i_analog_poc_param_mop_reference,APPLICATIONID,
controllermop,i_analog_poc_param_mop_reference,CONTROLLERMOP,
api_no14,i_well_allocation_hist,API14,
well_auto_name,i_well_allocation_hist,WELL_AUTO_NAME,
testdate,i_well_allocation_hist,TESTDATE,
totalfluidrate,i_well_allocation_hist,TOTALFLUIDRATE,
watercut,i_well_allocation_hist,WATERCUT,
oilrate,i_well_allocation_hist,OILRATE,
waterrate,i_well_allocation_hist,WATERRATE,
gasrate,i_well_allocation_hist,GASRATE,
source,i_well_allocation_hist,SOURCE,
api_no14,i_well_analog_detail_reference,API14,
nodeid,i_well_analog_detail_reference,WELL_AUTO_NAME,
poctype,i_well_analog_detail_reference,POCTYPE,
pocname,i_well_analog_detail_reference,POCNAME,
address,i_well_analog_detail_reference,ADDRESS,
addressname,i_well_analog_detail_reference,ADDRESSNAME,
paramstandardtype,i_well_analog_detail_reference,PARAMSTANDARDTYPE,
paramname,i_well_analog_detail_reference,PARAMNAME,
controllermop,i_well_analog_detail_reference,CONTROLLERMOP,
api_no14,i_well_analog_hist,API14,
nodeid,i_well_analog_hist,WELL_AUTO_NAME,
value,i_well_analog_hist,VALUE,
addressname,i_well_analog_hist,ADDRESSNAME,
paramname,i_well_analog_hist,PARAMNAME,
facilitytag,i_well_analog_hist,FACILITYTAG,
pocname,i_well_analog_hist,POCNAME,
controllermop,i_well_analog_hist,CONTROLLERMOP,
source,i_well_analog_hist,SOURCE,
api_no14,i_well_bore_hist,API14,
well_id,i_well_bore_hist,WELL_ID,
wellbore_id,i_well_bore_hist,WELLBORE_ID,
well_auto_name,i_well_bore_hist,WELL_AUTO_NAME,
wellbore_name,i_well_bore_hist,WELLBORE_NAME,
ko_date,i_well_bore_hist,KO_DATE,
md,i_well_bore_hist,MD,
tvd,i_well_bore_hist,TVD,
pdmd,i_well_bore_hist,PDMD,
geo_offset_east_bh,i_well_bore_hist,GEO_OFFSET_EAST_BH,
geo_offset_north_bh,i_well_bore_hist,GEO_OFFSET_NORTH_BH,
geo_latitude_bh,i_well_bore_hist,GEO_LATITUDE_BH,
geo_longitude_bh,i_well_bore_hist,GEO_LONGITUDE_BH,
source,i_well_bore_hist,SOURCE,
api_no14,i_well_card_hist,API14,
nodeid,i_well_card_hist,WELL_AUTO_NAME,
date,i_well_card_hist,DATE,
cardtype,i_well_card_hist,CARDTYPE,
cardtypedesc,i_well_card_hist,CARDTYPEDESC,
surfacecard,i_well_card_hist,SURFACECARD,
spm,i_well_card_hist,SPM,
strokelength,i_well_card_hist,STROKELENGTH,
runtime,i_well_card_hist,RUNTIME,
loadlimit,i_well_card_hist,LOADLIMIT,
positionlimit,i_well_card_hist,POSITIONLIMIT,
downholecard,i_well_card_hist,DOWNHOLECARD,
saved,i_well_card_hist,SAVED,
malloadlimit,i_well_card_hist,MALLOADLIMIT,
malpositionlimit,i_well_card_hist,MALPOSITIONLIMIT,
predictedcard,i_well_card_hist,PREDICTEDCARD,
area,i_well_card_hist,AREA,
arealimit,i_well_card_hist,AREALIMIT,
pochcard,i_well_card_hist,POCHCARD,
correctedcard,i_well_card_hist,CORRECTEDCARD,
loadlimit2,i_well_card_hist,LOADLIMIT2,
positionlimit2,i_well_card_hist,POSITIONLIMIT2,
loadspanlimit,i_well_card_hist,LOADSPANLIMIT,
hiloadlimit,i_well_card_hist,HILOADLIMIT,
loloadlimit,i_well_card_hist,LOLOADLIMIT,
cardarea,i_well_card_hist,CARDAREA,
processcard,i_well_card_hist,PROCESSCARD,
fillbasepct,i_well_card_hist,FILLBASEPCT,
torqueplotminenergy,i_well_card_hist,TORQUEPLOTMINENERGY,
torqueplotmintorque,i_well_card_hist,TORQUEPLOTMINTORQUE,
torqueplotcurrent,i_well_card_hist,TORQUEPLOTCURRENT,
pocdownholecard,i_well_card_hist,POCDOWNHOLECARD,
surfacecardb,i_well_card_hist,SURFACECARDB,
downholecardb,i_well_card_hist,DOWNHOLECARDB,
predictedcardb,i_well_card_hist,PREDICTEDCARDB,
torqueplotminenergyb,i_well_card_hist,TORQUEPLOTMINENERGYB,
torqueplotmintorqueb,i_well_card_hist,TORQUEPLOTMINTORQUEB,
torqueplotcurrentb,i_well_card_hist,TORQUEPLOTCURRENTB,
pocdownholecardb,i_well_card_hist,POCDOWNHOLECARDB,
fillage,i_well_card_hist,FILLAGE,
causeid,i_well_card_hist,CAUSEID,
analysisdate,i_well_card_hist,ANALYSISDATE,
permissibleloadupb,i_well_card_hist,PERMISSIBLELOADUPB,
permissibleloadupd,i_well_card_hist,PERMISSIBLELOADUPD,
permissibleloaddownb,i_well_card_hist,PERMISSIBLELOADDOWNB,
secondarypumpfillage,i_well_card_hist,SECONDARYPUMPFILLAGE,
electrogramcardb,i_well_card_hist,ELECTROGRAMCARDB,
source,i_well_card_hist,SOURCE,
api_no14,i_well_chem_hist,API14,
well,i_well_chem_hist,WELL_COMMON_NAME,
well_auto_name,i_well_chem_hist,WELL_AUTO_NAME,
startdate,i_well_chem_hist,STARTDATE,
enddate,i_well_chem_hist,ENDDATE,
product,i_well_chem_hist,PRODUCT,
weeklyquarts,i_well_chem_hist,WEEKLYQUARTS,
freq,i_well_chem_hist,FREQ,
source,i_well_chem_hist,SOURCE,
api_no14,i_well_deviation_hist,API14,
well_id,i_well_deviation_hist,WELL_ID,
wellbore_id,i_well_deviation_hist,WELLBORE_ID,
well_auto_name,i_well_deviation_hist,WELL_AUTO_NAME,
survey_date,i_well_deviation_hist,SURVEY_DATE,
description,i_well_deviation_hist,DESCRIPTION,
md,i_well_deviation_hist,MD,
tvd,i_well_deviation_hist,TVD,
e,i_well_deviation_hist,E,
n,i_well_deviation_hist,N,
inc,i_well_deviation_hist,INC,
azimuth,i_well_deviation_hist,AZIMUTH,
dls,i_well_deviation_hist,DLS,
vertsec,i_well_deviation_hist,VERTSEC,
num,i_well_deviation_hist,NUM,
source,i_well_deviation_hist,SOURCE,
api_no14,i_well_downtime_hist,API14,
well_auto_name,i_well_downtime_hist,WELL_AUTO_NAME,
downtime_date,i_well_downtime_hist,DOWNTIME_DATE,
downtime_cd,i_well_downtime_hist,DOWNTIME_CD,
hours_down,i_well_downtime_hist,HOURS_DOWN,
downtime_comments,i_well_downtime_hist,DOWNTIME_COMMENTS,
category,i_well_downtime_hist,CATEGORY,
sub_category,i_well_downtime_hist,SUB_CATEGORY,
sub_category_details,i_well_downtime_hist,SUB_CATEGORY_DETAILS,
downtime_desc,i_well_downtime_hist,DOWNTIME_DESC,
downtime_start_date,i_well_downtime_hist,DOWNTIME_START_DATE,
lost_oil_vol,i_well_downtime_hist,LOST_OIL_VOL,
lost_gas_vol,i_well_downtime_hist,LOST_GAS_VOL,
lost_water_vol,i_well_downtime_hist,LOST_WATER_VOL,
api_no14,i_well_drilling_bha_hist,API14,
well_auto_name,i_well_drilling_bha_hist,WELL_AUTO_NAME,
well_id,i_well_drilling_bha_hist,WELL_ID,
wellbore_id,i_well_drilling_bha_hist,WELLBORE_ID,
wellbore_label,i_well_drilling_bha_hist,WELLBORE_LABEL,
ko_date,i_well_drilling_bha_hist,KO_DATE,
assembly_name,i_well_drilling_bha_hist,ASSEMBLY_NAME,
comp_name,i_well_drilling_bha_hist,COMP_NAME,
joints,i_well_drilling_bha_hist,JOINTS,
od_body,i_well_drilling_bha_hist,OD_BODY,
id_body,i_well_drilling_bha_hist,ID_BODY,
id_drift,i_well_drilling_bha_hist,ID_DRIFT,
approximate_weight,i_well_drilling_bha_hist,APPROXIMATE_WEIGHT,
grade_id,i_well_drilling_bha_hist,GRADE_ID,
connection_name,i_well_drilling_bha_hist,CONNECTION_NAME,
md_top,i_well_drilling_bha_hist,MD_TOP,
md_base,i_well_drilling_bha_hist,MD_BASE,
length,i_well_drilling_bha_hist,LENGTH,
description,i_well_drilling_bha_hist,DESCRIPTION,
sequence_no,i_well_drilling_bha_hist,SEQUENCE_NO,
source,i_well_drilling_bha_hist,SOURCE,
api_no14,i_well_drilling_cost_hist,API14,
rmt_team,i_well_drilling_cost_hist,RMT_TEAM,
comp_type,i_well_drilling_cost_hist,COMP_TYPE,
geo_offset_east,i_well_drilling_cost_hist,GEO_OFFSET_EAST,
geo_offset_north,i_well_drilling_cost_hist,GEO_OFFSET_NORTH,
reservoir,i_well_drilling_cost_hist,RESERVOIR,
well_status,i_well_drilling_cost_hist,WELL_STATUS,
event_id,i_well_drilling_cost_hist,EVENT_ID,
event_code,i_well_drilling_cost_hist,EVENT_CODE,
equip_type,i_well_drilling_cost_hist,EQUIP_TYPE,
event_objective_1,i_well_drilling_cost_hist,EVENT_OBJECTIVE_1,
job_start_date,i_well_drilling_cost_hist,JOB_START_DATE,
job_end_date,i_well_drilling_cost_hist,JOB_END_DATE,
cum_cost,i_well_drilling_cost_hist,CUM_COST,
total_hrs,i_well_drilling_cost_hist,TOTAL_HRS,
afe_cost,i_well_drilling_cost_hist,AFE_COST,
afe_hrs,i_well_drilling_cost_hist,AFE_HRS,
total_npt_hrs,i_well_drilling_cost_hist,TOTAL_NPT_HRS,
total_p_hrs,i_well_drilling_cost_hist,TOTAL_P_HRS,
logged,i_well_drilling_cost_hist,LOGGED,
ttllccount,i_well_drilling_cost_hist,TTLLCCOUNT,
ttlfishhrs,i_well_drilling_cost_hist,TTLFISHHRS,
total_31prev,i_well_drilling_cost_hist,TOTAL_31PREV,
ttlcorehours,i_well_drilling_cost_hist,TTLCOREHOURS,
totalcsgstrings,i_well_drilling_cost_hist,TOTALCSGSTRINGS,
totalcsglength,i_well_drilling_cost_hist,TOTALCSGLENGTH,
totalcsgjnts,i_well_drilling_cost_hist,TOTALCSGJNTS,
mostcommoncsgsize,i_well_drilling_cost_hist,MOSTCOMMONCSGSIZE,
mostcommoncsggrade,i_well_drilling_cost_hist,MOSTCOMMONCSGGRADE,
td_md,i_well_drilling_cost_hist,TD_MD,
cumfluidloss,i_well_drilling_cost_hist,CUMFLUIDLOSS,
longestholesect,i_well_drilling_cost_hist,LONGESTHOLESECT,
permit_cost,i_well_drilling_cost_hist,PERMIT_COST,
logging_cost,i_well_drilling_cost_hist,LOGGING_COST,
mud_type,i_well_drilling_cost_hist,MUD_TYPE,
well_comp_name,i_well_drilling_cost_hist,WELL_COMP_NAME,
well_common_name,i_well_drilling_cost_hist,WELL_COMMON_NAME,
well_id,i_well_drilling_cost_hist,WELL_ID,
wellbore_id,i_well_drilling_cost_hist,WELLBORE_ID,
event_id,i_well_drilling_cost_hist,EVENT_ID,
well_id,i_well_event_hist,WELL_ID,
event_id,i_well_event_hist,EVENT_ID,
api_no14,i_well_event_hist,API14,
well_auto_name,i_well_event_hist,WELL_AUTO_NAME,
event_no,i_well_event_hist,EVENT_NO,
date_ops_end,i_well_event_hist,DATE_OPS_END,
date_ops_start,i_well_event_hist,DATE_OPS_START,
days_to_failure,i_well_event_hist,DAYS_TO_FAILURE,
cost_authorized,i_well_event_hist,COST_AUTHORIZED,
cumulative_total,i_well_event_hist,CUMULATIVE_TOTAL,
econ_comments,i_well_event_hist,ECON_COMMENTS,
expense_type,i_well_event_hist,EXPENSE_TYPE,
event_type,i_well_event_hist,EVENT_TYPE,
primary_failure,i_well_event_hist,PRIMARY_FAILURE,
secondary_failure,i_well_event_hist,SECONDARY_FAILURE,
job_summary,i_well_event_hist,JOB_SUMMARY,
failure_description,i_well_event_hist,FAILURE_DESCRIPTION,
fill_top_md,i_well_event_hist,FILL_TOP_MD,
cleanout_md,i_well_event_hist,CLEANOUT_MD,
cleanout_method,i_well_event_hist,CLEANOUT_METHOD,
failure_type,i_well_event_hist,FAILURE_TYPE,
is_foreign_material,i_well_event_hist,IS_FOREIGN_MATERIAL,
foreign_material_type,i_well_event_hist,FOREIGN_MATERIAL_TYPE,
is_corrosion,i_well_event_hist,IS_CORROSION,
corrosion_type,i_well_event_hist,CORROSION_TYPE,
is_well_stimulated,i_well_event_hist,IS_WELL_STIMULATED,
stim_desc,i_well_event_hist,STIM_DESC,
root_cause,i_well_event_hist,ROOT_CAUSE,
source,i_well_event_hist,SOURCE,
api_no14,i_well_fluidshot_hist,API14,
nodeid,i_well_fluidshot_hist,WELL_AUTO_NAME,
fluidshotid,i_well_fluidshot_hist,FLUIDSHOTID,
fluidshotdate,i_well_fluidshot_hist,FLUIDSHOTDATE,
fluidlevelfromsurface,i_well_fluidshot_hist,FLUIDLEVELFROMSURFACE,
fluidabovepump,i_well_fluidshot_hist,FLUIDABOVEPUMP,
gasfreeliquid,i_well_fluidshot_hist,GASFREELIQUID,
casingpressure,i_well_fluidshot_hist,CASINGPRESSURE,
tubingpressure,i_well_fluidshot_hist,TUBINGPRESSURE,
